method,mos_name,label,class
sofia,1245mosB,6,gal
sofia,1245mosB,59,cloud
sofia,1245mosB,129,gal
sofia,1245mosB,528,gal
sofia,1245mosB,529,gal
sofia,1245mosB,530,cloud
sofia,1245mosB,531,gal
sofia,1245mosC,4,notsure
sofia,1245mosC,11,gal
sofia,1245mosC,15,cloud
sofia,1245mosC,22,gal
sofia,1245mosC,59,gal
sofia,1245mosC,60,gal
sofia,1245mosC,66,gal
sofia,1245mosC,72,notsure
sofia,1245mosC,74,gal
sofia,1245mosC,75,gal
sofia,1245mosC,76,gal
sofia,1245mosC,78,notsure
sofia,1245mosC,80,gal
sofia,1245mosC,84,gal
sofia,1245mosC,85,gal
sofia,1245mosC,86,gal
sofia,1245mosC,86,gal
sofia,1245mosC,86,gal
sofia,1245mosC,91,gal
sofia,1245mosC,92,gal
sofia,1245mosC,93,gal
sofia,1245mosC,94,notsure
sofia,1245mosC,97,gal
sofia,1245mosC,99,gal
sofia,1245mosC,102,gal
sofia,1245mosC,111,gal
sofia,1245mosC,113,gal
sofia,1245mosC,114,gal
sofia,1245mosC,115,gal
sofia,1245mosC,121,gal
sofia,1245mosC,126,notsure
sofia,1245mosC,128,gal
sofia,1245mosC,129,gal
sofia,1245mosC,133,gal
sofia,1245mosC,140,gal
sofia,1245mosC,142,gal
sofia,1245mosC,143,gal
sofia,1245mosC,146,gal
sofia,1245mosC,147,gal
sofia,1245mosC,148,notsure
sofia,1245mosC,153,gal
sofia,1245mosC,156,gal
sofia,1245mosC,157,gal
sofia,1245mosC,165,gal
sofia,1245mosC,170,gal
sofia,1245mosC,171,gal
sofia,1245mosC,172,gal
sofia,1245mosC,173,gal
sofia,1245mosC,179,gal
sofia,1245mosC,182,gal
sofia,1245mosC,184,gal
sofia,1245mosC,187,gal
sofia,1245mosC,188,gal
sofia,1245mosC,192,gal
sofia,1245mosC,196,gal
sofia,1245mosC,205,gal
sofia,1245mosC,206,notsure
sofia,1245mosC,207,gal
sofia,1245mosC,212,gal
sofia,1245mosC,213,gal
sofia,1245mosC,215,notsure
sofia,1245mosC,251,notsure
sofia,1245mosC,261,gal
sofia,1245mosC,242,notsure
sofia,1245mosD,17,gal
sofia,1245mosD,26,gal
sofia,1245mosD,28,gal
sofia,1245mosD,30,gal
sofia,1245mosD,47,gal
sofia,1245mosD,66,gal
sofia,1245mosD,70,notsure
sofia,1245mosD,73,gal
sofia,1245mosD,82,gal
sofia,1245mosD,92,gal
sofia,1245mosD,985,gal
sofia,1245mosD,104,gal
sofia,1245mosD,112,gal
sofia,1245mosD,121,gal
sofia,1245mosD,123,gal
sofia,1245mosD,127,gal
sofia,1245mosD,130,gal
sofia,1245mosD,132,gal
sofia,1245mosD,134,gal
sofia,1245mosD,135,gal
sofia,1245mosD,136,gal
sofia,1245mosD,139,gal
sofia,1245mosD,140,gal
sofia,1245mosD,144,notsure
sofia,1245mosD,146,gal
sofia,1245mosD,147,gal
sofia,1245mosD,152,gal
sofia,1245mosD,153,gal
sofia,1245mosD,156,gal
sofia,1245mosD,157,notsure
sofia,1245mosD,158,gal
sofia,1245mosD,159,gal
sofia,1245mosD,165,gal
sofia,1245mosD,167,gal
sofia,1245mosD,173,gal
sofia,1245mosD,174,gal
sofia,1245mosD,179,gal
sofia,1245mosD,185,gal
sofia,1245mosD,187,gal
sofia,1245mosD,228,gal
sofia,1245mosD,229,gal
sofia,1245mosD,230,gal
sofia,1245mosE,6,gal
sofia,1245mosE,8,gal
sofia,1245mosE,10,gal
sofia,1245mosE,11,notsure
sofia,1245mosE,14,gal
sofia,1245mosE,18,gal
sofia,1245mosE,20,gal
sofia,1245mosE,21,gal
sofia,1245mosE,23,gal
sofia,1245mosE,24,gal
sofia,1245mosE,25,gal
sofia,1245mosE,36,gal
sofia,1245mosE,37,interactinggal
sofia,1245mosE,41,gal
sofia,1245mosE,44,gal
sofia,1245mosE,48,gal
sofia,1245mosE,51,gal
sofia,1245mosE,55,gal
sofia,1245mosE,59,gal
sofia,1245mosE,60,gal
sofia,1245mosE,63,gal
sofia,1245mosE,64,gal
sofia,1245mosE,68,notsure
sofia,1245mosE,71,gal
sofia,1245mosE,73,interactinggal
sofia,1245mosE,75,gal
sofia,1245mosE,76,gal
sofia,1245mosE,78,gal
sofia,1245mosE,82,gal
sofia,1245mosE,84,gal
sofia,1245mosE,85,gal
sofia,1245mosE,88,gal
sofia,1245mosE,90,gal
sofia,1245mosE,91,gal
sofia,1245mosE,95,gal
sofia,1245mosE,96,gal
sofia,1245mosE,98,notsure
sofia,1245mosE,99,gal
sofia,1245mosE,101,gal
sofia,1245mosE,102,gal
sofia,1245mosE,106,gal
sofia,1245mosE,107,gal
sofia,1245mosE,108,gal
sofia,1245mosE,112,gal
sofia,1245mosE,113,gal
sofia,1245mosE,116,gal
sofia,1245mosE,117,gal
sofia,1245mosE,118,gal
sofia,1245mosE,123,gal
sofia,1245mosE,124,gal
sofia,1245mosE,125,gal
sofia,1245mosE,126,gal
sofia,1245mosE,166,gal
sofia,1245mosE,173,gal
sofia,1245mosE,176,notsure
sofia,1245mosE,185,notsure
sofia,1245mosE,186,gal
sofia,1245mosE,199,notsure
sofia,1245mosE,201,gal
sofia,1245mosE,206,notsure
sofia,1245mosE,211,notsure
sofia,1245mosF,10,notsure
sofia,1245mosF,11,notsure
sofia,1245mosF,12,gal
sofia,1245mosF,14,notsure
sofia,1245mosF,20,notsure
sofia,1245mosF,25,gal
sofia,1245mosF,26,notsure
sofia,1245mosF,27,notsure
sofia,1245mosF,89,gal
sofia,1245mosF,91,gal
sofia,1245mosF,94,gal
sofia,1245mosF,101,gal
sofia,1245mosG,8,gal
sofia,1245mosG,13,gal
sofia,1245mosG,21,gal
sofia,1245mosG,27,gal
sofia,1245mosG,28,notsure
sofia,1245mosG,32,notsure
sofia,1245mosG,33,gal
sofia,1245mosG,35,gal
sofia,1245mosG,36,gal
sofia,1245mosG,37,gal
sofia,1245mosG,40,notsure
sofia,1245mosG,41,gal
sofia,1245mosG,43,gal
sofia,1245mosG,44,gal
sofia,1245mosG,45,gal
sofia,1245mosG,46,notsure
sofia,1245mosG,47,gal
sofia,1245mosG,48,notsure
sofia,1245mosG,49,gal
sofia,1245mosG,52,gal
sofia,1245mosG,53,gal
sofia,1245mosG,54,gal
sofia,1245mosG,55,gal
sofia,1245mosG,56,gal
sofia,1245mosG,59,gal
sofia,1245mosG,61,gal
sofia,1245mosG,71,gal
sofia,1245mosG,72,gal
sofia,1245mosG,73,gal
sofia,1245mosG,76,gal
sofia,1245mosG,77,gal
sofia,1245mosG,78,gal
sofia,1245mosG,82,gal
sofia,1245mosG,87,gal
sofia,1245mosG,93,notsure
sofia,1245mosG,94,gal
sofia,1245mosG,151,notsure
sofia,1245mosG,160,notsure
sofia,1245mosG,164,notsure
sofia,1245mosG,173,gal