filename,mass
g1_model415,8.8973
g2_model64,8.5534
g2_model341,8.8188
g2_model462,8.96
g2_model21,8.5161
g2_model790,9.4172
g2_model136,8.6149
g2_model727,9.3015
g2_model671,9.2159
g2_model152,8.6258
g2_model636,9.1588
g2_model345,8.8224
g2_model847,9.5474
g2_model8,8.5072
g2_model819,9.4885
g2_model930,9.7996
g2_model248,8.7219
g2_model52,8.5469
g2_model53,8.547
g2_model313,8.799
g2_model382,8.8625
g2_model217,8.687
g2_model974,9.9761
g2_model170,8.6434
g2_model836,9.5193
g2_model991,10.1084
g2_model705,9.2629
g2_model860,9.5808
g2_model269,8.742
g2_model498,9.0025
g2_model736,9.3176
g2_model741,9.3319
g2_model908,9.7372
g2_model216,8.6869
g2_model168,8.6406
g2_model159,8.6337
g2_model279,8.7495
g2_model284,8.753
g2_model536,9.0515
g2_model409,8.8941
g2_model787,9.4154
g2_model193,8.6637
g2_model1,8.5014
g2_model749,9.3399
g2_model792,9.4196
g2_model953,9.8897
g2_model561,9.0833
g2_model442,8.929
g2_model236,8.71
g2_model812,9.4738
g2_model418,8.8991
g2_model632,9.1578
g2_model356,8.8372
g2_model202,8.677
g2_model440,8.9212
g2_model363,8.8424
g2_model453,8.9469
g2_model449,8.9384
g2_model995,10.1563
g2_model950,9.8747
g2_model264,8.7367
g2_model491,8.994
g2_model151,8.6257
g2_model643,9.1754
g2_model948,9.8582
g2_model962,9.9356
g2_model373,8.8559
g2_model921,9.7736
g2_model352,8.8309
g2_model729,9.3025
g2_model675,9.2228
g2_model293,8.767
g2_model268,8.7405
g2_model271,8.7436
g2_model272,8.7443
g2_model657,9.1898
g2_model23,8.5176
g2_model907,9.735
g2_model635,9.1586
g2_model633,9.1582
g2_model931,9.7998
g2_model47,8.5435
g2_model637,9.1588
g2_model945,9.8479
g2_model209,8.6821
g2_model74,8.5577
g2_model435,8.9197
g2_model825,9.5015
g2_model109,8.5932
g2_model227,8.6995
g2_model294,8.7678
g2_model841,9.5342
g2_model638,9.1593
g2_model106,8.5902
g2_model34,8.5324
g2_model471,8.9687
g2_model681,9.2292
g2_model678,9.227
g2_model115,8.5974
g2_model389,8.8683
g2_model454,8.947
g2_model367,8.8468
g2_model310,8.7945
g2_model340,8.8188
g2_model620,9.1385
g2_model676,9.2261
g2_model321,8.8046
g2_model273,8.7458
g2_model427,8.9084
g2_model866,9.6023
g2_model16,8.5117
g2_model88,8.5735
g2_model426,8.9063
g2_model899,9.7034
g2_model184,8.658
g2_model90,8.5746
g2_model667,9.2112
g2_model311,8.7955
g2_model337,8.8128
g2_model843,9.5363
g2_model564,9.0845
g2_model530,9.0462
g2_model277,8.7492
g2_model444,8.9322
g2_model305,8.7869
g2_model407,8.8891
g2_model852,9.5534
g2_model523,9.0379
g2_model589,9.1042
g2_model623,9.14
g2_model185,8.6581
g2_model969,9.9553
g2_model914,9.7522
g2_model973,9.9718
g2_model611,9.1295
g2_model138,8.6167
g2_model739,9.3227
g2_model396,8.8775
g2_model132,8.6122
g2_model938,9.8223
g2_model900,9.7044
g2_model999,10.2023
g2_model799,9.4469
g2_model254,8.7313
g2_model713,9.2739
g2_model755,9.3488
g2_model76,8.5591
g2_model265,8.7381
g2_model112,8.5953
g2_model70,8.5564
g2_model205,8.6779
g2_model121,8.6003
g2_model546,9.0589
g2_model697,9.2493
g2_model577,9.0965
g2_model884,9.6633
g2_model335,8.8116
g2_model881,9.6538
g2_model710,9.2707
g2_model456,8.9519
g2_model125,8.6048
g2_model737,9.3192
g2_model196,8.6663
g2_model704,9.2582
g2_model529,9.0435
g2_model565,9.0855
g2_model120,8.5997
g2_model872,9.6332
g2_model730,9.3076
g2_model98,8.5822
g2_model306,8.79
g2_model298,8.7785
g2_model482,8.9833
g2_model139,8.6171
g2_model661,9.1945
g2_model411,8.8948
g2_model300,8.7812
g2_model947,9.8576
g2_model299,8.7805
g2_model913,9.7515
g2_model493,8.9955
g2_model257,8.7326
g2_model817,9.4873
g2_model781,9.4067
g2_model22,8.5166
g2_model634,9.1584
g2_model78,8.5627
g2_model982,10.0332
g2_model421,8.9034
g2_model475,8.9753
g2_model544,9.0584
g2_model329,8.8089
g2_model666,9.2085
g2_model334,8.8114
g2_model399,8.8834
g2_model906,9.7266
g2_model588,9.1036
g2_model466,8.9644
g2_model223,8.6974
g2_model13,8.5106
g2_model779,9.4009
g2_model374,8.8567
g2_model603,9.1149
g2_model194,8.6644
g2_model882,9.6542
g2_model916,9.7558
g2_model651,9.1833
g2_model438,8.9205
g2_model813,9.4765
g2_model130,8.6102
g2_model233,8.7067
g2_model375,8.8572
g2_model278,8.7493
g2_model621,9.1387
g2_model178,8.6498
g2_model910,9.7406
g2_model457,8.953
g2_model26,8.5213
g2_model606,9.119
g2_model867,9.6027
g2_model927,9.7944
g2_model263,8.7361
g2_model658,9.1909
g2_model645,9.1796
g2_model38,8.5342
g2_model677,9.227
g2_model837,9.5197
g2_model428,8.9085
g2_model365,8.8457
g2_model579,9.0978
g2_model958,9.9081
g2_model922,9.7778
g2_model189,8.6601
g2_model582,9.0992
g2_model698,9.2497
g2_model612,9.13
g2_model131,8.6111
g2_model911,9.7463
g2_model883,9.6608
g2_model966,9.9443
g2_model14,8.511
g2_model208,8.682
g2_model476,8.9753
g2_model469,8.9669
g2_model228,8.7002
g2_model481,8.983
g2_model533,9.0484
g2_model9,8.5073
g2_model508,9.0131
g2_model665,9.2025
g2_model360,8.8401
g2_model49,8.5452
g2_model368,8.8477
g2_model888,9.6761
g2_model484,8.9863
g2_model717,9.2829
g2_model6,8.5053
g2_model249,8.7248
g2_model695,9.2468
g2_model535,9.0512
g2_model155,8.6287
g2_model830,9.5091
g2_model153,8.6273
g2_model596,9.1102
g2_model105,8.5893
g2_model364,8.8447
g2_model527,9.042
g2_model618,9.136
g2_model398,8.8802
g2_model422,8.905
g2_model288,8.7614
g2_model448,8.9351
g2_model754,9.3478
g2_model140,8.6175
g2_model489,8.992
g2_model154,8.6275
g2_model224,8.6975
g2_model146,8.621
g2_model763,9.3609
g2_model673,9.2186
g2_model747,9.3387
g2_model917,9.7602
g2_model401,8.8854
g2_model696,9.2472
g2_model54,8.5472
g2_model503,9.0077
g2_model933,9.8065
g2_model674,9.2191
g2_model82,8.5665
g2_model369,8.8505
g2_model95,8.5788
g2_model853,9.5552
g2_model756,9.3498
g2_model174,8.6463
g2_model976,9.9917
g2_model412,8.8948
g2_model903,9.7178
g2_model972,9.9706
g2_model627,9.1528
g2_model347,8.8252
g2_model846,9.5469
g2_model721,9.2872
g2_model980,10.016
g2_model833,9.5132
g2_model896,9.6963
g2_model809,9.4719
g2_model430,8.9099
g2_model732,9.3113
g2_model330,8.8097
g2_model557,9.0764
g2_model594,9.1098
g2_model592,9.106
g2_model901,9.7103
g2_model795,9.4293
g2_model150,8.6238
g2_model48,8.545
g2_model918,9.7623
g2_model920,9.7725
g2_model965,9.942
g2_model549,9.0626
g2_model943,9.8411
g2_model149,8.6233
g2_model488,8.9912
g2_model107,8.5911
g2_model887,9.6711
g2_model359,8.8394
g2_model473,8.9701
g2_model316,8.8006
g2_model538,9.0532
g2_model445,8.9323
g2_model349,8.8284
g2_model646,9.1802
g2_model663,9.1995
g2_model450,8.9395
g2_model350,8.8285
g2_model403,8.8863
g2_model593,9.1061
g2_model45,8.5408
g2_model68,8.5555
g2_model103,8.5867
g2_model317,8.801
g2_model891,9.6832
g2_model250,8.7267
g2_model29,8.5269
g2_model617,9.1357
g2_model968,9.9549
g2_model256,8.7323
g2_model708,9.2697
g2_model873,9.6342
g2_model497,8.9996
g2_model480,8.9801
g2_model640,9.1721
g2_model186,8.6589
g2_model161,8.6341
g2_model518,9.0305
g2_model766,9.362
g2_model441,8.9281
g2_model230,8.7006
g2_model245,8.7183
g2_model652,9.185
g2_model176,8.6471
g2_model542,9.0573
g2_model583,9.0996
g2_model569,9.0888
g2_model436,8.9204
g2_model558,9.079
g2_model12,8.5097
g2_model73,8.5572
g2_model686,9.2328
g2_model69,8.556
g2_model296,8.7722
g2_model656,9.1886
g2_model562,9.0839
g2_model487,8.9896
g2_model201,8.6757
g2_model234,8.7074
g2_model857,9.5664
g2_model831,9.5099
g2_model699,9.2507
g2_model759,9.3528
g2_model235,8.709
g2_model871,9.6248
g2_model500,9.0063
g2_model550,9.0629
g2_model764,9.3611
g2_model818,9.4882
g2_model770,9.3661
g2_model320,8.8041
g2_model408,8.8923
g2_model509,9.0144
g2_model800,9.4536
g2_model483,8.9853
g2_model691,9.2411
g2_model625,9.1428
g2_model327,8.8082
g2_model874,9.6354
g2_model32,8.5299
g2_model400,8.8838
g2_model844,9.5382
g2_model879,9.6479
g2_model226,8.6986
g2_model828,9.5048
g2_model692,9.2423
g2_model522,9.0377
g2_model725,9.2976
g2_model780,9.402
g2_model180,8.6525
g2_model406,8.8883
g2_model720,9.2863
g2_model649,9.183
g2_model548,9.0617
g2_model726,9.2987
g2_model994,10.1467
g2_model864,9.598
g2_model863,9.5967
g2_model351,8.8307
g2_model983,10.0358
g2_model339,8.8151
g2_model979,10.0026
g2_model714,9.2754
g2_model295,8.772
g2_model200,8.6732
g2_model25,8.5204
g2_model587,9.1015
g2_model291,8.7634
g2_model309,8.7943
g2_model303,8.785
g2_model545,9.0586
g2_model971,9.9594
g2_model314,8.7998
g2_model850,9.5493
g2_model923,9.7796
g2_model963,9.9366
g2_model610,9.1228
g2_model783,9.41
g2_model975,9.9882
g2_model145,8.6203
g2_model598,9.1122
g2_model575,9.0949
g2_model875,9.6365
g2_model728,9.3019
g2_model58,8.5489
g2_model959,9.9118
g2_model849,9.5489
g2_model301,8.7831
g2_model600,9.1131
g2_model171,8.6439
g2_model80,8.5651
g2_model614,9.1318
g2_model607,9.1202
g2_model308,8.7908
g2_model858,9.569
g2_model36,8.5331
g2_model147,8.6217
g2_model377,8.858
g2_model165,8.638
g2_model956,9.8994
g2_model893,9.6871
g2_model773,9.3849
g2_model172,8.644
g2_model148,8.6219
g2_model357,8.8386
g2_model384,8.8633
g2_model19,8.5142
g2_model214,8.6855
g2_model203,8.6777
g2_model372,8.8518
g2_model496,8.9983
g2_model452,8.9442
g2_model242,8.715
g2_model212,8.684
g2_model880,9.6529
g2_model733,9.3119
g2_model246,8.7211
g2_model996,10.1625
g2_model940,9.8379
g2_model20,8.5157
g2_model734,9.312
g2_model463,8.9607
g2_model2,8.5021
g2_model346,8.8231
g2_model718,9.2844
g2_model251,8.7271
g2_model570,9.0909
g2_model361,8.8408
g2_model998,10.2021
g2_model767,9.3631
g2_model206,8.6784
g2_model392,8.8743
g2_model765,9.3614
g2_model51,8.546
g2_model941,9.8395
g2_model772,9.3772
g2_model18,8.5127
g2_model56,8.5476
g2_model460,8.9584
g2_model641,9.1737
g2_model776,9.3942
g2_model628,9.1532
g2_model459,8.9571
g2_model162,8.6361
g2_model137,8.6155
g2_model777,9.3989
g2_model15,8.5111
g2_model723,9.2909
g2_model547,9.0604
g2_model504,9.0077
g2_model595,9.1101
g2_model1008,10.3896
g2_model479,8.9798
g2_model312,8.7972
g2_model624,9.1414
g2_model266,8.7398
g2_model370,8.8516
g2_model706,9.263
g2_model461,8.9592
g2_model244,8.7182
g2_model735,9.3151
g2_model261,8.7356
g2_model322,8.8048
g2_model682,9.2299
g2_model371,8.8517
g2_model495,8.9978
g2_model919,9.7646
g2_model748,9.3389
g2_model383,8.8628
g2_model524,9.0381
g2_model977,9.9956
g2_model944,9.8443
g2_model690,9.2409
g2_model712,9.2733
g2_model951,9.878
g2_model99,8.5843
g2_model515,9.0274
g2_model664,9.202
g2_model237,8.7109
g2_model797,9.4416
g2_model567,9.0877
g2_model810,9.4723
g2_model869,9.6225
g2_model744,9.3365
g2_model751,9.3425
g2_model798,9.4442
g2_model410,8.8947
g2_model83,8.5671
g2_model258,8.7332
g2_model31,8.5285
g2_model50,8.5455
g2_model66,8.5536
g2_model693,9.2456
g2_model655,9.1877
g2_model650,9.183
g2_model240,8.7122
g2_model302,8.7834
g2_model464,8.9611
g2_model768,9.3633
g2_model822,9.4941
g2_model784,9.411
g2_model443,8.9318
g2_model885,9.6655
g2_model490,8.992
g2_model141,8.6177
g2_model243,8.7151
g2_model1004,10.3117
g2_model827,9.5033
g2_model157,8.6325
g2_model601,9.1142
g2_model794,9.4286
g2_model297,8.7778
g2_model247,8.7216
g2_model926,9.7905
g2_model192,8.663
g2_model319,8.8038
g2_model576,9.0955
g2_model738,9.3193
g2_model609,9.1225
g2_model954,9.8907
g2_model616,9.134
g2_model840,9.5301
g2_model182,8.654
g2_model988,10.0698
g2_model531,9.0471
g2_model252,8.7302
g2_model280,8.7511
g2_model134,8.6133
g2_model868,9.6217
g2_model782,9.4079
g2_model993,10.1368
g2_model842,9.536
g2_model270,8.7432
g2_model124,8.6039
g2_model949,9.8645
g2_model402,8.8858
g2_model672,9.216
g2_model126,8.6051
g2_model597,9.1116
g2_model556,9.0728
g2_model895,9.6954
g2_model952,9.8819
g2_model599,9.1128
g2_model366,8.8462
g2_model394,8.8758
g2_model543,9.0576
g2_model703,9.2562
g2_model639,9.169
g2_model111,8.595
g2_model878,9.6434
g2_model191,8.6622
g2_model160,8.634
g2_model110,8.5935
g2_model563,9.0844
g2_model876,9.6387
g2_model166,8.6383
g2_model85,8.5692
g2_model711,9.2708
g2_model689,9.2364
g2_model680,9.2282
g2_model774,9.3934
g2_model197,8.6682
g2_model434,8.9189
g2_model653,9.1853
g2_model516,9.0295
g2_model574,9.0945
g2_model807,9.4686
g2_model1001,10.265
g2_model353,8.8313
g2_model332,8.8105
g2_model114,8.5974
g2_model387,8.8668
g2_model393,8.8748
g2_model122,8.6019
g2_model175,8.6463
g2_model492,8.995
g2_model571,9.0912
g2_model992,10.1361
g2_model477,8.9772
g2_model61,8.551
g2_model123,8.602
g2_model128,8.6061
g2_model845,9.5448
g2_model1007,10.3619
g2_model57,8.5479
g2_model100,8.5859
g2_model486,8.9881
g2_model1000,10.2505
g2_model791,9.4187
g2_model385,8.8643
g2_model40,8.5367
g2_model44,8.5405
g2_model405,8.8882
g2_model101,8.5861
g2_model694,9.2463
g2_model912,9.7502
g2_model997,10.1796
g2_model613,9.131
g2_model762,9.359
g2_model877,9.6402
g2_model187,8.6591
g2_model685,9.2324
g2_model932,9.803
g2_model605,9.117
g2_model510,9.0206
g2_model839,9.5286
g2_model222,8.6925
g2_model4,8.5044
g2_model724,9.2923
g2_model390,8.871
g2_model218,8.6874
g2_model292,8.7642
g2_model590,9.1049
g2_model805,9.4597
g2_model77,8.5626
g2_model752,9.3471
g2_model220,8.6908
g2_model439,8.9205
g2_model386,8.8648
g2_model283,8.7516
g2_model987,10.067
g2_model851,9.5498
g2_model211,8.683
g2_model388,8.8681
g2_model808,9.4693
g2_model834,9.5133
g2_model553,9.0659
g2_model179,8.6502
g2_model743,9.3334
g2_model5,8.5049
g2_model894,9.69
g2_model474,8.9718
g2_model67,8.5541
g2_model499,9.0051
g2_model437,8.9204
g2_model113,8.5957
g2_model684,9.2312
g2_model190,8.6613
g2_model559,9.079
g2_model262,8.7359
g2_model742,9.3324
g2_model622,9.1395
g2_model889,9.6795
g2_model116,8.5978
g2_model909,9.7376
g2_model785,9.4121
g2_model331,8.8101
g2_model354,8.8326
g2_model447,8.9347
g2_model238,8.7116
g2_model348,8.8267
g2_model753,9.3474
g2_model380,8.8606
g2_model924,9.7869
g2_model745,9.3365
g2_model985,10.059
g2_model659,9.1921
g2_model520,9.0336
g2_model267,8.7402
g2_model10,8.5075
g2_model127,8.6058
g2_model946,9.8499
g2_model580,9.0983
g2_model344,8.8222
g2_model379,8.8605
g2_model586,9.1012
g2_model771,9.376
g2_model986,10.0654
g2_model210,8.6829
g2_model118,8.5979
g2_model467,8.9653
g2_model63,8.5526
g2_model91,8.5749
g2_model539,9.054
g2_model89,8.574
g2_model731,9.3091
g2_model551,9.0633
g2_model169,8.6407
g2_model395,8.877
g2_model432,8.9171
g2_model62,8.5516
g2_model433,8.9175
g2_model989,10.0776
g2_model336,8.812
g2_model757,9.3511
g2_model358,8.8388
g2_model97,8.5805
g2_model229,8.7004
g2_model534,9.0497
g2_model290,8.7622
g2_model419,8.9012
g2_model429,8.9097
g2_model108,8.5931
g2_model662,9.1969
g2_model158,8.6337
g2_model46,8.5428
g2_model39,8.5346
g2_model404,8.8867
g2_model769,9.3648
g2_model198,8.6685
g2_model832,9.5101
g2_model702,9.2532
g2_model431,8.911
g2_model72,8.5572
g2_model92,8.5758
g2_model470,8.9678
g2_model84,8.5682
g2_model207,8.68
g2_model239,8.7122
g2_model304,8.7855
g2_model644,9.1766
g2_model286,8.7603
g2_model1005,10.3134
g2_model604,9.1163
g2_model231,8.7034
g2_model397,8.8775
g2_model746,9.3373
g2_model11,8.5096
g2_model591,9.1054
g2_model788,9.4157
g2_model615,9.1324
g2_model188,8.6594
g2_model532,9.0482
g2_model43,8.5389
g2_model391,8.8713
g2_model824,9.5008
g2_model255,8.7316
g2_model215,8.6857
g2_model342,8.8212
g2_model629,9.1537
g2_model670,9.2134
g2_model897,9.6972
g2_model602,9.1148
g2_model990,10.1044
g2_model1006,10.3248
g2_model778,9.3996
g2_model142,8.6187
g2_model898,9.7031
g2_model660,9.1924
g2_model758,9.3516
g2_model957,9.9009
g2_model811,9.4728
g2_model96,8.5798
g2_model93,8.5762
g2_model937,9.8201
g2_model195,8.6645
g2_model199,8.6727
g2_model381,8.8608
g2_model513,9.022
g2_model870,9.6248
g2_model803,9.4556
g2_model472,8.9697
g2_model281,8.7514
g2_model848,9.5481
g2_model854,9.5575
g2_model183,8.6558
g2_model60,8.5506
g2_model417,8.8985
g2_model700,9.2512
g2_model701,9.2514
g2_model325,8.8072
g2_model27,8.5259
g2_model928,9.7977
g2_model318,8.8019
g2_model253,8.7303
g2_model117,8.5979
g2_model65,8.5534
g2_model688,9.2353
g2_model260,8.7355
g2_model740,9.3306
g2_model7,8.5066
g2_model572,9.0914
g2_model164,8.6375
g2_model826,9.5015
g2_model416,8.8975
g2_model642,9.1745
g2_model654,9.187
g2_model815,9.4809
g2_model333,8.811
g2_model722,9.2897
g2_model568,9.0881
g2_model378,8.8582
g2_model468,8.966
g2_model578,9.0977
g2_model446,8.9332
g2_model521,9.0366
g2_model861,9.5829
g2_model465,8.9618
g2_model528,9.042
g2_model33,8.5319
g2_model905,9.7215
g2_model679,9.2271
g2_model552,9.0654
g2_model573,9.0931
g2_model315,8.8004
g2_model716,9.2826
g2_model806,9.4656
g2_model104,8.5874
g2_model94,8.5781
g2_model978,9.9982
g2_model81,8.5664
g2_model631,9.1556
g2_model829,9.5089
g2_model581,9.0991
g2_model506,9.0123
g2_model35,8.5326
g2_model326,8.8075
g2_model955,9.8926
g2_model425,8.9057
g2_model960,9.915
g2_model939,9.8245
g2_model619,9.1382
g2_model929,9.7992
g2_model687,9.2341
g2_model555,9.0724
g2_model630,9.1543
g2_model814,9.4807
g2_model289,8.7621
g2_model647,9.1811
g2_model626,9.1452
g2_model902,9.7114
g2_model181,8.6529
g2_model715,9.279
g2_model856,9.5653
g2_model144,8.6203
g2_model129,8.6063
g2_model935,9.8123
g2_model307,8.7903
g2_model760,9.3544
g2_model608,9.1211
g2_model275,8.7464
g2_model934,9.8117
g2_model821,9.4932
g2_model540,9.0547
g2_model501,9.007
g2_model41,8.5374
g2_model24,8.5184
g2_model507,9.013
g2_model424,8.9056
g2_model838,9.5225
g2_model455,8.9496
g2_model338,8.8136
g2_model964,9.9368
g2_model865,9.5981
g2_model560,9.0825
g2_model102,8.5864
g2_model789,9.4158
g2_model584,9.1005
g2_model904,9.7191
g2_model925,9.7869
g2_model221,8.6912
g2_model494,8.9956
g2_model343,8.8221
g2_model517,9.0304
g2_model669,9.2123
g2_model1003,10.3111
g2_model177,8.6475
g2_model505,9.0099
g2_model1002,10.2919
g2_model525,9.0391
g2_model750,9.3413
g2_model355,8.8329
g2_model886,9.6682
g2_model537,9.0531
g2_model668,9.212
g2_model942,9.8399
g2_model775,9.3937
g2_model719,9.2863
g2_model282,8.7515
g2_model786,9.4132
g2_model796,9.4396
g2_model133,8.6131
g2_model890,9.6828
g2_model566,9.0872
g2_model801,9.4545
g2_model648,9.1812
g2_model276,8.7474
g2_model213,8.6846
g2_model485,8.9879
g2_model519,9.0319
g2_model30,8.5272
g2_model324,8.8071
g2_model816,9.4869
g2_model87,8.5724
g2_model323,8.8063
g2_model3,8.5039
g2_model855,9.5578
g2_model1009,10.4261
g2_model225,8.6977
g2_model119,8.5996
g2_model79,8.5633
g2_model981,10.025
g2_model204,8.6777
g2_model71,8.5566
g2_model37,8.5336
g2_model451,8.9404
g2_model915,9.753
g2_model514,9.0261
g2_model709,9.2699
g2_model892,9.6856
g2_model163,8.6371
g2_model804,9.458
g2_model328,8.8086
g2_model554,9.067
g2_model75,8.5582
g2_model0,8.5004
g2_model17,8.5121
g2_model259,8.7343
g2_model173,8.644
g2_model984,10.0509
g2_model802,9.4555
g2_model55,8.5476
g2_model478,8.9776
g2_model232,8.7056
g2_model707,9.2682
g2_model512,9.0212
g2_model970,9.9554
g2_model143,8.6187
g2_model823,9.4967
g2_model961,9.9331
g2_model28,8.5266
g2_model936,9.8149
g2_model362,8.8409
g2_model423,8.9055
g2_model585,9.1007
g2_model219,8.689
g2_model86,8.5693
g2_model502,9.0076
g2_model526,9.0409
g2_model241,8.714
g2_model285,8.76
g2_model413,8.8963
g2_model420,8.902
g2_model376,8.8578
g2_model414,8.8966
g2_model59,8.5497
g2_model761,9.3551
g2_model167,8.6388
g2_model820,9.493
g2_model862,9.5876
g2_model967,9.9532
g2_model42,8.5381
g2_model683,9.2303
g2_model511,9.0207
g2_model458,8.9557
g2_model287,8.7605
g2_model156,8.6325
g2_model541,9.0567
g2_model274,8.7464
g2_model793,9.4241
g2_model835,9.5179
g2_model859,9.572
g2_model135,8.6144
g2_model415,8.8973
